serial_fssai,ins_no,e_number,name_english,name_hindi,functional_class,harm_level_1to4,harm_severity,color_code,harm_reason,revant_concern,fssai_permitted,source
28,141(ii),E141(ii),"Chlorophyll copper complex, sodium",,"and potassium Salts, Colour",3,MEDIUM-HIGH,ORANGE,Artificial colour; potential hyperactivity risk in children (EFSA warning),YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
29,142,E142,Green S,,Colour,3,MEDIUM-HIGH,ORANGE,Artificial colour; potential hyperactivity risk in children (EFSA warning),YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
30,143,E143,Fast green FCF,,Colour,3,MEDIUM-HIGH,ORANGE,Artificial colour; potential hyperactivity risk in children (EFSA warning),YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
31,150a,E150a,Caramel I-plain,,Colour,3,MEDIUM-HIGH,ORANGE,Artificial colour; potential hyperactivity risk in children (EFSA warning),YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
32,150b,E150b,Caramel II – caustic sulphite process,,Colour,3,MEDIUM-HIGH,ORANGE,Artificial colour; potential hyperactivity risk in children (EFSA warning),YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
33,150c,E150c,Caramel III – ammonia process,,Colour,4,HIGH,RED,"Caramel III (ammonia process) - contains 4-MeI, a potential carcinogen; used in some cola drinks",YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
34,150d,E150d,Caramel IV-ammonia sulphite,,"Process, Colour",4,HIGH,RED,Caramel IV (ammonia-sulphite process) - contains 4-MeI; common in dark cola and sauces,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
35,151,E151,Brilliant black PN,,Colour,3,MEDIUM-HIGH,ORANGE,Artificial colour; potential hyperactivity risk in children (EFSA warning),YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
36,152,E152,Carbon black (hydrocarbon),,Colour,3,MEDIUM-HIGH,ORANGE,Artificial colour; potential hyperactivity risk in children (EFSA warning),YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
37,153,E153,Vegetable carbon,,Colour,1,LOW,GREEN,Vegetable carbon - from burnt plant material; safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
38,154,E154,Brown FK,,Colour,3,MEDIUM-HIGH,ORANGE,Artificial colour; potential hyperactivity risk in children (EFSA warning),YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
39,155,E155,Brown HT,,Colour,3,MEDIUM-HIGH,ORANGE,Artificial colour; potential hyperactivity risk in children (EFSA warning),YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
40,160a,E160a,Carotenes,,Colour,1,LOW,GREEN,Carotenes - natural orange pigment; Vitamin A precursor; safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
41,160a(i),E160a(i),Beta-carotene (synthetic),,Colour,3,MEDIUM-HIGH,ORANGE,Artificial colour; potential hyperactivity risk in children (EFSA warning),YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
42,160a(ii),E160a(ii),Natural extracts,,Colour,3,MEDIUM-HIGH,ORANGE,Artificial colour; potential hyperactivity risk in children (EFSA warning),YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
43,160b,E160b,Annatto extracts,,Colour,1,LOW,GREEN,Annatto extracts - natural from annatto seed; safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
44,160c,E160c,Paprika Oleoresins,,Colour,1,LOW,GREEN,Paprika oleoresins - natural from paprika; safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
45,160d,E160d,Lycopene,,Colour,1,LOW,GREEN,Lycopene - natural from tomatoes; antioxidant; safe and beneficial,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
46,160e,E160e,Beta-apo-carotental,,Colour,3,MEDIUM-HIGH,ORANGE,Artificial colour; potential hyperactivity risk in children (EFSA warning),YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
47,160f,E160f,"Beta-apo-8’-carotenic acid, methyl or",,"ethyl ester, Colour",3,MEDIUM-HIGH,ORANGE,Artificial colour; potential hyperactivity risk in children (EFSA warning),YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
48,161a,E161a,Flavoxanthin,,Colour,3,MEDIUM-HIGH,ORANGE,Artificial colour; potential hyperactivity risk in children (EFSA warning),YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
49,161b,E161b,Lutein,,Colour,3,MEDIUM-HIGH,ORANGE,Artificial colour; potential hyperactivity risk in children (EFSA warning),YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
50,161c,E161c,Krytoxanthin,,Colour,3,MEDIUM-HIGH,ORANGE,Artificial colour; potential hyperactivity risk in children (EFSA warning),YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
51,161d,E161d,Rubixanthin,,Colour,3,MEDIUM-HIGH,ORANGE,Artificial colour; potential hyperactivity risk in children (EFSA warning),YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
52,161e,E161e,Violoxanthin,,Colour,3,MEDIUM-HIGH,ORANGE,Artificial colour; potential hyperactivity risk in children (EFSA warning),YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
53,161f,E161f,Rhodoxanthin,,Colour,3,MEDIUM-HIGH,ORANGE,Artificial colour; potential hyperactivity risk in children (EFSA warning),YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
54,161g,E161g,Canthaxanthin,,Colour,3,MEDIUM-HIGH,ORANGE,Artificial colour; potential hyperactivity risk in children (EFSA warning),YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
55,162,E162,Beet red,,Colour,1,LOW,GREEN,Beet red - natural from beetroot; safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
56,163,E163,Anthocyanins,,Colour,1,LOW,GREEN,Anthocyanins - natural plant pigments; antioxidant; safe and beneficial,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
57,163(i),E163(i),Anthocyanins,,Colour,3,MEDIUM-HIGH,ORANGE,Artificial colour; potential hyperactivity risk in children (EFSA warning),YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
58,163(ii),E163(ii),Grape skin extract,,Colour,3,MEDIUM-HIGH,ORANGE,Artificial colour; potential hyperactivity risk in children (EFSA warning),YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
59,163(iii),E163(iii),Blackcurrant extract,,Colour,3,MEDIUM-HIGH,ORANGE,Artificial colour; potential hyperactivity risk in children (EFSA warning),YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
60,164,E164,Gardenia yellow,,Colour,3,MEDIUM-HIGH,ORANGE,Artificial colour; potential hyperactivity risk in children (EFSA warning),YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
61,166,E166,Sandalwood,,Colour,3,MEDIUM-HIGH,ORANGE,Artificial colour; potential hyperactivity risk in children (EFSA warning),YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
62,170,E170,Calcium carbonates,,"Surface colourant, anticaking agent,, stabilizer",3,MEDIUM-HIGH,ORANGE,Artificial colour; potential hyperactivity risk in children (EFSA warning),YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
63,170(i),E170(i),Calcium carbonate,,anticaking agent,1,LOW,GREEN,Prevents clumping; generally safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
64,170(ii),E170(ii),Calcium hydrogen carbonate,,anticaking agent,1,LOW,GREEN,Prevents clumping; generally safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
65,171,E171,Titanium dioxide,टाइटेनियम डाइऑक्साइड,Colour,4,HIGH,RED,Titanium dioxide - IARC Group 2B possible carcinogen; banned in EU food since 2022; still permitted in India,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
66,172,E172,Iron oxides,,Colour,3,MEDIUM-HIGH,ORANGE,Artificial colour; potential hyperactivity risk in children (EFSA warning),YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
67,172(i),E172(i),"Iron oxide, black",,Colour,3,MEDIUM-HIGH,ORANGE,Artificial colour; potential hyperactivity risk in children (EFSA warning),YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
68,172(ii),E172(ii),"Iron oxide, red",,Colour,3,MEDIUM-HIGH,ORANGE,Artificial colour; potential hyperactivity risk in children (EFSA warning),YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
69,172(iii),E172(iii),"Iron oxide, yellow",,Colour,3,MEDIUM-HIGH,ORANGE,Artificial colour; potential hyperactivity risk in children (EFSA warning),YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
70,173,E173,Aluminium,,Colour,3,MEDIUM-HIGH,ORANGE,Artificial colour; potential hyperactivity risk in children (EFSA warning),YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
71,174,E174,Silver,,Colour,3,MEDIUM-HIGH,ORANGE,Artificial colour; potential hyperactivity risk in children (EFSA warning),YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
72,175,E175,Gold,,Colour,3,MEDIUM-HIGH,ORANGE,Artificial colour; potential hyperactivity risk in children (EFSA warning),YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
73,180,E180,Lithol rubine BK,,Colour,3,MEDIUM-HIGH,ORANGE,Artificial colour; potential hyperactivity risk in children (EFSA warning),YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
74,181,E181,"Tannins, food grade",,"Colour, emulsifier, stabilizer, thickener",3,MEDIUM-HIGH,ORANGE,Artificial colour; potential hyperactivity risk in children (EFSA warning),YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
75,182,E182,Orchil,,Colour,3,MEDIUM-HIGH,ORANGE,Artificial colour; potential hyperactivity risk in children (EFSA warning),YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
76,200,E200,Sorbic acid,,Preservative,3,MEDIUM-HIGH,ORANGE,Chemical preservative; some linked to gut microbiome disruption,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
77,201,E201,Sodium sorbate,,Preservative,3,MEDIUM-HIGH,ORANGE,Chemical preservative; some linked to gut microbiome disruption,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
78,202,E202,Potassium sorbate,,Preservative,3,MEDIUM-HIGH,ORANGE,Chemical preservative; some linked to gut microbiome disruption,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
79,203,E203,Calcium sorbate,,Preservative,3,MEDIUM-HIGH,ORANGE,Chemical preservative; some linked to gut microbiome disruption,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
80,209,E209,Heptyl p-hydroxybenzoate,,Preservative,3,MEDIUM-HIGH,ORANGE,Chemical preservative; some linked to gut microbiome disruption,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
81,210,E210,Benzoic acid,,Preservative,3,MEDIUM-HIGH,ORANGE,Benzoic acid - reacts with Vitamin C to form benzene (carcinogen); avoid in beverages,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
82,211,E211,Sodium benzoate,सोडियम बेंज़ोएट,Preservative,4,HIGH,RED,Sodium benzoate - forms benzene with ascorbic acid; hyperactivity; common in Indian packaged drinks and sauces,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
83,212,E212,Potassium benzoate,,Preservative,3,MEDIUM-HIGH,ORANGE,Potassium benzoate - same concerns as sodium benzoate,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
84,213,E213,Calcium benzoate,,Preservative,3,MEDIUM-HIGH,ORANGE,Calcium benzoate - same concerns as sodium benzoate,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
85,214,E214,Ethyl p-hydroxybenzoate,,Preservative,3,MEDIUM-HIGH,ORANGE,Chemical preservative; some linked to gut microbiome disruption,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
86,215,E215,Sodium ethyl p-hydroxybenzoate,,Preservative,3,MEDIUM-HIGH,ORANGE,Chemical preservative; some linked to gut microbiome disruption,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
87,216,E216,Propyl p-hydroxybenzoate,,Preservative,3,MEDIUM-HIGH,ORANGE,Chemical preservative; some linked to gut microbiome disruption,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
88,217,E217,Sodium propyl p-hydroxybenzoate,,Preservative,3,MEDIUM-HIGH,ORANGE,Chemical preservative; some linked to gut microbiome disruption,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
89,218,E218,Methyl p-hydroxybenzoate,,Preservative,3,MEDIUM-HIGH,ORANGE,Chemical preservative; some linked to gut microbiome disruption,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
90,219,E219,Sodium methyl p-hydroxybenzoate,,Preservative,3,MEDIUM-HIGH,ORANGE,Chemical preservative; some linked to gut microbiome disruption,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
91,220,E220,Sulphur dioxide,,"Preservative, antioxidant",3,MEDIUM-HIGH,ORANGE,Sulphur dioxide - asthma trigger; destroys Vitamin B1; common in dried fruits and wine,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
92,221,E221,Sodium sulphite,,"Preservative, antioxidant",3,MEDIUM-HIGH,ORANGE,Sodium sulphite - asthma trigger; destroys Vitamin B1,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
93,222,E222,Sodium hydrogen sulphite,,"Preservative, antioxidant",3,MEDIUM-HIGH,ORANGE,Chemical preservative; some linked to gut microbiome disruption,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
94,223,E223,Sodium metabisulphite,,"Preservative, bleaching agent, antioxidant",3,MEDIUM-HIGH,ORANGE,Sodium metabisulphite - asthma trigger; destroys thiamine; common in Indian wines and dried foods,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
95,224,E224,Potassium metabisulphite,,"Preservative, antioxidant",3,MEDIUM-HIGH,ORANGE,Chemical preservative; some linked to gut microbiome disruption,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
96,225,E225,Potassium sulphite,,"Preservative, antioxidant",3,MEDIUM-HIGH,ORANGE,Chemical preservative; some linked to gut microbiome disruption,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
97,226,E226,Calcium sulphite,,"Preservative, antioxidant",3,MEDIUM-HIGH,ORANGE,Chemical preservative; some linked to gut microbiome disruption,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
98,227,E227,Calcium hydrogen sulphite,,"Preservative, antioxidant",3,MEDIUM-HIGH,ORANGE,Chemical preservative; some linked to gut microbiome disruption,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
99,228,E228,Potassium bisulphate,,"Preservative, antioxidant",3,MEDIUM-HIGH,ORANGE,Chemical preservative; some linked to gut microbiome disruption,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
100,230,E230,Diphenyl,,Preservative,3,MEDIUM-HIGH,ORANGE,Chemical preservative; some linked to gut microbiome disruption,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
101,231,E231,Ortho-phenylphenol,,Preservative,3,MEDIUM-HIGH,ORANGE,Chemical preservative; some linked to gut microbiome disruption,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
102,232,E232,Sodium o-phenylphenol,,Preservative,3,MEDIUM-HIGH,ORANGE,Chemical preservative; some linked to gut microbiome disruption,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
103,233,E233,Thiabendazole,,Preservative,3,MEDIUM-HIGH,ORANGE,Chemical preservative; some linked to gut microbiome disruption,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
104,234,E234,Nisin,,Preservative,3,MEDIUM-HIGH,ORANGE,Chemical preservative; some linked to gut microbiome disruption,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
105,235,E235,Pimaricin (natamycin),,Preservative,3,MEDIUM-HIGH,ORANGE,Chemical preservative; some linked to gut microbiome disruption,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
106,236,E236,Formic acid,,Preservative,3,MEDIUM-HIGH,ORANGE,Chemical preservative; some linked to gut microbiome disruption,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
107,237,E237,Sodium formate,,Preservative,3,MEDIUM-HIGH,ORANGE,Chemical preservative; some linked to gut microbiome disruption,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
108,238,E238,Calcium formate,,Preservative,3,MEDIUM-HIGH,ORANGE,Chemical preservative; some linked to gut microbiome disruption,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
109,239,E239,Hexamethylene tetramine,,Preservative,3,MEDIUM-HIGH,ORANGE,Chemical preservative; some linked to gut microbiome disruption,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
110,240,E240,Formaldehyde,,Preservative,3,MEDIUM-HIGH,ORANGE,Chemical preservative; some linked to gut microbiome disruption,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
111,241,E241,Gum guaicum,,Preservative,3,MEDIUM-HIGH,ORANGE,Chemical preservative; some linked to gut microbiome disruption,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
112,242,E242,Dimethyl dicarbonate,,Preservative,3,MEDIUM-HIGH,ORANGE,Chemical preservative; some linked to gut microbiome disruption,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
113,249,E249,Potassium nitrite,,"Preservative, colour fixative",4,HIGH,RED,Potassium nitrite - forms carcinogenic nitrosamines when heated; found in processed meats,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
114,250,E250,Sodium nitrite,सोडियम नाइट्राइट,"Preservative, colour fixative",4,HIGH,RED,Sodium nitrite - WHO Group 2A carcinogen; used in sausages and processed meats,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
115,251,E251,Sodium nitrate,,"Preservative, colour fixative",3,MEDIUM-HIGH,ORANGE,Sodium nitrate - converts to nitrite in body; linked to cancer risk,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
116,252,E252,Potassium nitrate,,"Preservative, colour fixative",3,MEDIUM-HIGH,ORANGE,Potassium nitrate - converts to nitrite in body; cancer risk with processed meats,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
117,260,E260,"Acetic acid, glacial",,"Preservative, acidity regulator",3,MEDIUM-HIGH,ORANGE,Chemical preservative; some linked to gut microbiome disruption,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
118,261,E261,Potassium acetates,,"Preservative, acidity regulator",3,MEDIUM-HIGH,ORANGE,Chemical preservative; some linked to gut microbiome disruption,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
119,261(i),E261(i),Potassium acetate,,"Preservative, acidity regulator",3,MEDIUM-HIGH,ORANGE,Chemical preservative; some linked to gut microbiome disruption,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
120,261(ii),E261(ii),Potassium diacetate,,"Preservative, acidity regulator, Preservative, acidity regulator",3,MEDIUM-HIGH,ORANGE,Chemical preservative; some linked to gut microbiome disruption,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
121,262,E262,Sodium acetates,,,1,LOW,GREEN,Permitted by FSSAI; generally considered safe at regulated levels,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
122,262(i),E262(i),Sodium acetate,,,1,LOW,GREEN,Permitted by FSSAI; generally considered safe at regulated levels,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
123,262(ii),E262(ii),Sodium diacetate,,"Preservative, acidity regulator,, Sequestrant",3,MEDIUM-HIGH,ORANGE,Chemical preservative; some linked to gut microbiome disruption,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
124,263,E263,Calcium acetate,,"Preservative, stabilizer, acidity Regulator",3,MEDIUM-HIGH,ORANGE,Chemical preservative; some linked to gut microbiome disruption,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
125,264,E264,Ammonium acetate,,Acidity regulator,1,LOW,GREEN,Controls pH; generally safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
126,265,E265,Dehydroacetic acid,,Preservative,3,MEDIUM-HIGH,ORANGE,Chemical preservative; some linked to gut microbiome disruption,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
